Parameters : 

                   

populationSize = 30

maxRules = 60

maxGenerations = 2000

mutationRate = 0.7

bidPercentage = 0.05

rewardAmount = 1.5

repeatCount = 20

taxRate = 0.15

negativeRewardFactor = 0.6

strengthThreshold = 20

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = #01#1#, Action = 1, Strength = 19.6811
Rule 14: Condition = 1##110, Action = 0, Strength = 17.5149

Rule 15: Condition = 010#01, Action = 1, Strength = 15.1665

Rule 16: Condition = 11##1#, Action = 1, Strength = 15.1665

Rule 17: Condition = 111#0#, Action = 0, Strength = 10.8697

Rule 18: Condition = 1##11#, Action = 1, Strength = 10.8697

Rule 19: Condition = #00111, Action = 1, Strength = 13.1754

Rule 20: Condition = #1#101, Action = 1, Strength = 13.1754

Rule 21: Condition = #0#0##, Action = 1, Strength = 15.1665

Rule 22: Condition = 10#111, Action = 0, Strength = 15.1665

Rule 23: Condition = #10#01, Action = 0, Strength = 10.3885

Rule 24: Condition = 010#11, Action = 1, Strength = 10.3885

Rule 25: Condition = 001100, Action = 0, Strength = 11.038

Rule 26: Condition = 100100, Action = 0, Strength = 11.038

Rule 27: Condition = #001#1, Action = 0, Strength = 8.54516

Rule 28: Condition = 0#1#00, Action = 1, Strength = 8.54516

Rule 29: Condition = ##1###, Action = 1, Strength = 12.8977

Rule 30: Condition = #0100#, Action = 1, Strength = 12.8977

Rule 31: Condition = ###101, Action = 0, Strength = 9.99957

Rule 32: Condition = #11#00, Action = 1, Strength = 9.99957

Rule 33: Condition = 0#1010, Action = 1, Strength = 7.95588

Rule 34: Condition = #01101, Action = 0, Strength = 7.95588

Rule 35: Condition = 01#0#0, Action = 1, Strength = 19.6811

Rule 36: Condition = #11000, Action = 0, Strength = 19.6811

Rule 37: Condition = 1001##, Action = 0, Strength = 15.0508

Rule 38: Condition = ##1011, Action = 0, Strength = 15.0508

Rule 39: Condition = 0111#1, Action = 1, Strength = 15.3618

Rule 40: Condition = 1#101#, Action = 1, Strength = 15.3618

Rule 41: Condition = 0#0010, Action = 1, Strength = 3.60845

Rule 42: Condition = 11#0##, Action = 0, Strength = 3.60845

Rule 43: Condition = ###1#0, Action = 0, Strength = 10.1349

Rule 44: Condition = ###11#, Action = 0, Strength = 10.1349

Rule 45: Condition = 0#0011, Action = 0, Strength = 8.07879

Rule 46: Condition = ##010#, Action = 0, Strength = 8.07879

Rule 47: Condition = 011011, Action = 1, Strength = 15.0508

Rule 48: Condition = 10#0##, Action = 1, Strength = 15.0508

Rule 49: Condition = 1#0110, Action = 0, Strength = 13.1754

Rule 50: Condition = #01#1#, Action = 0, Strength = 13.1754

Rule 51: Condition = 011010, Action = 1, Strength = 11.0093

Rule 52: Condition = #001#1, Action = 1, Strength = 11.0093

Rule 53: Condition = 11011#, Action = 0, Strength = 15.3843

Rule 54: Condition = 1101#0, Action = 0, Strength = 15.3843

Rule 55: Condition = ##0#00, Action = 0, Strength = 10.0362

Rule 56: Condition = 11#1#1, Action = 1, Strength = 10.0362

Rule 57: Condition = 100001, Action = 1, Strength = 19.6811

Rule 58: Condition = ##0#0#, Action = 1, Strength = 19.6811

Rule 59: Condition = 0001#1, Action = 1, Strength = 8.51608

Rule 60: Condition = 00010#, Action = 0, Strength = 8.51608


Final Accuracy: 71.875%

Run : 2

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = 1###00, Action = 0, Strength = 19.6811

Rule 2: Condition = 001###, Action = 1, Strength = 19.6811

Rule 3: Condition = 11###1, Action = 1, Strength = 19.6811

Rule 4: Condition = ###0#1, Action = 0, Strength = 15.7344

Rule 5: Condition = 01#0#0, Action = 0, Strength = 15.3702

Rule 6: Condition = #0#10#, Action = 0, Strength = 15.3692

Rule 7: Condition = 1##11#, Action = 1, Strength = 8.0162

Rule 8: Condition = 101110, Action = 1, Strength = 8.0162

Rule 9: Condition = 01#110, Action = 0, Strength = 12.365

Rule 10: Condition = 1###11, Action = 0, Strength = 12.365

Rule 11: Condition = 1##100, Action = 1, Strength = 8.00642

Rule 12: Condition = 1#0000, Action = 0, Strength = 8.00642

Rule 13: Condition = #11#10, Action = 0, Strength = 17.7077

Rule 14: Condition = 11#11#, Action = 1, Strength = 17.7077

Rule 15: Condition = ##1#1#, Action = 1, Strength = 17.5251

Rule 16: Condition = 111#11, Action = 1, Strength = 17.5251

Rule 17: Condition = 0100#0, Action = 0, Strength = 17.7077

Rule 18: Condition = 010#10, Action = 1, Strength = 17.7077

Rule 19: Condition = 1011#0, Action = 1, Strength = 12.2017

Rule 20: Condition = 1#11##, Action = 0, Strength = 12.2017

Rule 21: Condition = #01#1#, Action = 1, Strength = 17.7077

Rule 22: Condition = 00#011, Action = 1, Strength = 17.7077

Rule 23: Condition = 100#10, Action = 0, Strength = 10.3475

Rule 24: Condition = 00###1, Action = 0, Strength = 10.3475

Rule 25: Condition = 101010, Action = 0, Strength = 10.1772

Rule 26: Condition = 11#1#0, Action = 1, Strength = 10.1772

Rule 27: Condition = 1#1#01, Action = 0, Strength = 10.0719

Rule 28: Condition = ##0111, Action = 0, Strength = 10.0719

Rule 29: Condition = 001010, Action = 0, Strength = 0.384763

Rule 30: Condition = 00#110, Action = 1, Strength = 0.384763

Rule 31: Condition = 0#0001, Action = 0, Strength = 12.365

Rule 32: Condition = 0##00#, Action = 0, Strength = 12.365

Rule 33: Condition = 0##11#, Action = 0, Strength = 19.6811

Rule 34: Condition = 110001, Action = 0, Strength = 19.6811

Rule 35: Condition = 1#1#01, Action = 0, Strength = 12.2017

Rule 36: Condition = 00110#, Action = 0, Strength = 12.2017

Rule 37: Condition = #1#100, Action = 0, Strength = 17.5251

Rule 38: Condition = 00011#, Action = 1, Strength = 17.5251

Rule 39: Condition = ##1111, Action = 0, Strength = 17.5256

Rule 40: Condition = 1#0#10, Action = 0, Strength = 17.5256

Rule 41: Condition = 0101##, Action = 1, Strength = 17.7077

Rule 42: Condition = #1#01#, Action = 1, Strength = 17.7077

Rule 43: Condition = 11#1#0, Action = 0, Strength = 0.465981

Rule 44: Condition = 01#0#1, Action = 1, Strength = 0.465981

Rule 45: Condition = 110101, Action = 1, Strength = 17.7077

Rule 46: Condition = 011100, Action = 1, Strength = 17.7077

Rule 47: Condition = 00###0, Action = 1, Strength = 17.7077

Rule 48: Condition = 10#1##, Action = 0, Strength = 17.7077

Rule 49: Condition = 0#010#, Action = 0, Strength = 8.01142

Rule 50: Condition = 0##10#, Action = 0, Strength = 8.01142

Rule 51: Condition = 1#1#10, Action = 1, Strength = 7.97492

Rule 52: Condition = 101011, Action = 1, Strength = 7.97492

Rule 53: Condition = 001#00, Action = 0, Strength = 15.3697

Rule 54: Condition = ##1001, Action = 1, Strength = 15.3697

Rule 55: Condition = 110011, Action = 0, Strength = 14.8852

Rule 56: Condition = 0##1#0, Action = 0, Strength = 14.8852

Rule 57: Condition = #0111#, Action = 1, Strength = 5.28282

Rule 58: Condition = #1###0, Action = 0, Strength = 5.28282

Rule 59: Condition = #011##, Action = 0, Strength = 10.209

Rule 60: Condition = 10#11#, Action = 1, Strength = 10.209


Final Accuracy: 65.625%

Run : 3

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = 01#0##, Action = 0, Strength = 19.6811

Rule 2: Condition = #1#1#1, Action = 1, Strength = 19.6811

Rule 3: Condition = #00#0#, Action = 0, Strength = 19.6792

Rule 4: Condition = 1####0, Action = 0, Strength = 19.5396

Rule 5: Condition = 10##1#, Action = 1, Strength = 19.2409

Rule 6: Condition = 0#11##, Action = 1, Strength = 18.0053

Rule 7: Condition = #111#0, Action = 0, Strength = 13.2092

Rule 8: Condition = 0#01##, Action = 0, Strength = 13.2092

Rule 9: Condition = 0##10#, Action = 0, Strength = 12.9398

Rule 10: Condition = 11##11, Action = 1, Strength = 12.9398

Rule 11: Condition = #111#1, Action = 1, Strength = 9.92337

Rule 12: Condition = ##0##1, Action = 0, Strength = 9.92337

Rule 13: Condition = 0#0001, Action = 0, Strength = 19.6811

Rule 14: Condition = #0##1#, Action = 1, Strength = 19.6811

Rule 15: Condition = ##0100, Action = 1, Strength = 19.46

Rule 16: Condition = 0#1110, Action = 0, Strength = 19.46

Rule 17: Condition = 1##0#1, Action = 0, Strength = 18.8432

Rule 18: Condition = 0101#0, Action = 1, Strength = 18.8432

Rule 19: Condition = 000111, Action = 1, Strength = 13.1331

Rule 20: Condition = #1#1##, Action = 0, Strength = 13.1331

Rule 21: Condition = 1#0101, Action = 0, Strength = 19.6802

Rule 22: Condition = 0001#0, Action = 0, Strength = 19.6802

Rule 23: Condition = 011##0, Action = 1, Strength = 19.6802

Rule 24: Condition = ###0#1, Action = 1, Strength = 19.6802

Rule 25: Condition = ##1001, Action = 0, Strength = 13.159

Rule 26: Condition = 1#01#0, Action = 1, Strength = 13.159

Rule 27: Condition = #11000, Action = 1, Strength = 13.3579

Rule 28: Condition = 1##1#0, Action = 0, Strength = 13.3579

Rule 29: Condition = 11##0#, Action = 1, Strength = 10.108

Rule 30: Condition = 100##1, Action = 0, Strength = 10.108

Rule 31: Condition = 01#000, Action = 1, Strength = 10.0307

Rule 32: Condition = 000#01, Action = 0, Strength = 10.0307

Rule 33: Condition = 101110, Action = 0, Strength = 19.461

Rule 34: Condition = 0001##, Action = 0, Strength = 19.461

Rule 35: Condition = #10#11, Action = 1, Strength = 19.461

Rule 36: Condition = #1#100, Action = 0, Strength = 19.461

Rule 37: Condition = #01#10, Action = 0, Strength = 19.6802

Rule 38: Condition = 001#01, Action = 1, Strength = 19.6802

Rule 39: Condition = 000#01, Action = 0, Strength = 10.0373

Rule 40: Condition = 000#11, Action = 1, Strength = 10.0373

Rule 41: Condition = 01#001, Action = 0, Strength = 12.3713

Rule 42: Condition = ##10##, Action = 1, Strength = 12.3713

Rule 43: Condition = #1#00#, Action = 0, Strength = 10.2048

Rule 44: Condition = 01#010, Action = 0, Strength = 10.2048

Rule 45: Condition = 101110, Action = 1, Strength = 19.6104

Rule 46: Condition = 1#0#11, Action = 0, Strength = 19.6104

Rule 47: Condition = #00110, Action = 0, Strength = 18.8432

Rule 48: Condition = 00#0#1, Action = 0, Strength = 18.8432

Rule 49: Condition = #10010, Action = 0, Strength = 18.8432

Rule 50: Condition = 111010, Action = 0, Strength = 18.8432

Rule 51: Condition = 000##1, Action = 0, Strength = 14.3566

Rule 52: Condition = 1111#1, Action = 1, Strength = 14.3566

Rule 53: Condition = ###11#, Action = 1, Strength = 19.6094

Rule 54: Condition = ###001, Action = 1, Strength = 19.6094

Rule 55: Condition = ##110#, Action = 0, Strength = 13.159

Rule 56: Condition = 11111#, Action = 1, Strength = 13.159

Rule 57: Condition = 0001#0, Action = 1, Strength = 12.9891

Rule 58: Condition = 01##0#, Action = 1, Strength = 12.9891

Rule 59: Condition = #0##00, Action = 0, Strength = 18.0053

Rule 60: Condition = 1#10##, Action = 0, Strength = 18.0053


Final Accuracy: 82.8125%

Run : 4

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = #1#0#0, Action = 0, Strength = 19.6811

Rule 2: Condition = #1#1#1, Action = 1, Strength = 19.6811

Rule 3: Condition = 001###, Action = 1, Strength = 19.4956

Rule 4: Condition = 00####, Action = 0, Strength = 18.9719

Rule 5: Condition = 1###00, Action = 0, Strength = 18.0056

Rule 6: Condition = #0##01, Action = 0, Strength = 14.2915

Rule 7: Condition = 10100#, Action = 1, Strength = 14.2296

Rule 8: Condition = #11#1#, Action = 1, Strength = 14.2296

Rule 9: Condition = 000#1#, Action = 0, Strength = 19.5884

Rule 10: Condition = 1#01##, Action = 0, Strength = 19.5884

Rule 11: Condition = #1#100, Action = 0, Strength = 16.4983

Rule 12: Condition = #01#1#, Action = 0, Strength = 16.4983

Rule 13: Condition = 1#11##, Action = 1, Strength = 19.5884

Rule 14: Condition = 011#11, Action = 1, Strength = 19.5884

Rule 15: Condition = 0110##, Action = 0, Strength = 12.5822

Rule 16: Condition = #00#01, Action = 0, Strength = 12.5822

Rule 17: Condition = 11#0#1, Action = 1, Strength = 19.6811

Rule 18: Condition = 101010, Action = 0, Strength = 19.6811

Rule 19: Condition = #10000, Action = 1, Strength = 10.1885

Rule 20: Condition = 0##010, Action = 0, Strength = 10.1885

Rule 21: Condition = 1#1011, Action = 1, Strength = 9.72678

Rule 22: Condition = 0##111, Action = 1, Strength = 9.72678

Rule 23: Condition = 0##000, Action = 1, Strength = 13.8036

Rule 24: Condition = 0#1101, Action = 0, Strength = 13.8036

Rule 25: Condition = #0#1#0, Action = 1, Strength = 7.76286

Rule 26: Condition = 000###, Action = 0, Strength = 7.76286

Rule 27: Condition = 1001#1, Action = 1, Strength = 10.0095

Rule 28: Condition = #001#1, Action = 0, Strength = 10.0095

Rule 29: Condition = #111##, Action = 1, Strength = 0.673455

Rule 30: Condition = 110001, Action = 1, Strength = 0.673455

Rule 31: Condition = 1#1110, Action = 0, Strength = 3.736

Rule 32: Condition = 01#1#1, Action = 0, Strength = 3.736

Rule 33: Condition = 1010#1, Action = 0, Strength = 2.8698

Rule 34: Condition = 1100#0, Action = 1, Strength = 2.8698

Rule 35: Condition = 10#1#0, Action = 1, Strength = 9.29671

Rule 36: Condition = ##0010, Action = 1, Strength = 9.29671

Rule 37: Condition = #0#10#, Action = 0, Strength = 9.37973

Rule 38: Condition = #1#1#0, Action = 0, Strength = 9.37973

Rule 39: Condition = 11#110, Action = 0, Strength = 7.09062

Rule 40: Condition = 111110, Action = 1, Strength = 7.09062

Rule 41: Condition = #10110, Action = 0, Strength = 0.922538

Rule 42: Condition = 1#1#00, Action = 1, Strength = 0.922538

Rule 43: Condition = 010111, Action = 0, Strength = 12.6881

Rule 44: Condition = ###0#1, Action = 0, Strength = 12.6881

Rule 45: Condition = 001#11, Action = 1, Strength = 12.3767

Rule 46: Condition = 11##1#, Action = 0, Strength = 12.3767

Rule 47: Condition = #1##10, Action = 0, Strength = 10.1618

Rule 48: Condition = #0001#, Action = 0, Strength = 10.1618

Rule 49: Condition = 100001, Action = 1, Strength = 19.3265

Rule 50: Condition = 0111#1, Action = 0, Strength = 19.3265

Rule 51: Condition = 01#0#0, Action = 1, Strength = 13.8749

Rule 52: Condition = 1#1101, Action = 0, Strength = 13.8749

Rule 53: Condition = ##110#, Action = 1, Strength = 13.3918

Rule 54: Condition = 10#0#0, Action = 0, Strength = 13.3918

Rule 55: Condition = ##0#1#, Action = 0, Strength = 16.1437

Rule 56: Condition = 100#00, Action = 0, Strength = 16.1437

Rule 57: Condition = 000#0#, Action = 1, Strength = 16.1486

Rule 58: Condition = 00#01#, Action = 0, Strength = 16.1486

Rule 59: Condition = 00##01, Action = 0, Strength = 19.3265

Rule 60: Condition = 100##1, Action = 1, Strength = 19.3265


Final Accuracy: 78.125%

Run : 5

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = #1#1#1, Action = 1, Strength = 19.6811

Rule 2: Condition = 0#00##, Action = 0, Strength = 19.6811

Rule 3: Condition = 11###0, Action = 0, Strength = 19.6811

Rule 4: Condition = 1##01#, Action = 1, Strength = 18.0053

Rule 5: Condition = #0##1#, Action = 1, Strength = 16.5961

Rule 6: Condition = 0001##, Action = 0, Strength = 15.3686

Rule 7: Condition = 10#001, Action = 0, Strength = 10.4277

Rule 8: Condition = 10###0, Action = 0, Strength = 10.4277

Rule 9: Condition = 10101#, Action = 0, Strength = 17.5248

Rule 10: Condition = ##0011, Action = 1, Strength = 17.5248

Rule 11: Condition = 0#0001, Action = 0, Strength = 10.8767

Rule 12: Condition = 100111, Action = 0, Strength = 10.8767

Rule 13: Condition = #11##0, Action = 0, Strength = 18.1386

Rule 14: Condition = 10111#, Action = 1, Strength = 18.1386

Rule 15: Condition = #1#011, Action = 0, Strength = 15.0278

Rule 16: Condition = #1001#, Action = 0, Strength = 15.0278

Rule 17: Condition = 1010#0, Action = 0, Strength = 18.1386

Rule 18: Condition = 0###10, Action = 1, Strength = 18.1386

Rule 19: Condition = 110#1#, Action = 1, Strength = 10.4277

Rule 20: Condition = #0#01#, Action = 1, Strength = 10.4277

Rule 21: Condition = #0##10, Action = 0, Strength = 3.73233

Rule 22: Condition = #0#011, Action = 1, Strength = 3.73233

Rule 23: Condition = 011#10, Action = 0, Strength = 11.0321

Rule 24: Condition = #1#1#1, Action = 0, Strength = 11.0321

Rule 25: Condition = 011000, Action = 1, Strength = 12.5839

Rule 26: Condition = 01###0, Action = 1, Strength = 12.5839

Rule 27: Condition = #11##1, Action = 0, Strength = 12.3344

Rule 28: Condition = 0##1#1, Action = 1, Strength = 12.3344

Rule 29: Condition = 100101, Action = 1, Strength = 12.6952

Rule 30: Condition = #10011, Action = 1, Strength = 12.6952

Rule 31: Condition = ##1#00, Action = 0, Strength = 9.48958

Rule 32: Condition = 0#011#, Action = 0, Strength = 9.48958

Rule 33: Condition = 011111, Action = 1, Strength = 6.13052

Rule 34: Condition = 0#0101, Action = 1, Strength = 6.13052

Rule 35: Condition = 10#100, Action = 0, Strength = 0.410903

Rule 36: Condition = 1#1#0#, Action = 0, Strength = 0.410903

Rule 37: Condition = 110#11, Action = 1, Strength = 17.5248

Rule 38: Condition = ###0#1, Action = 1, Strength = 17.5248

Rule 39: Condition = 000000, Action = 1, Strength = 13.1476

Rule 40: Condition = 11##01, Action = 0, Strength = 13.1476

Rule 41: Condition = 00#111, Action = 1, Strength = 10.035

Rule 42: Condition = 0##1##, Action = 1, Strength = 10.035

Rule 43: Condition = ###001, Action = 0, Strength = 18.8432

Rule 44: Condition = 1#0##0, Action = 1, Strength = 18.8432

Rule 45: Condition = 010###, Action = 1, Strength = 15.1953

Rule 46: Condition = 00#0#1, Action = 0, Strength = 15.1953

Rule 47: Condition = #1#100, Action = 0, Strength = 10.0369

Rule 48: Condition = #1#0##, Action = 0, Strength = 10.0369

Rule 49: Condition = 01110#, Action = 0, Strength = 13.039

Rule 50: Condition = 001#01, Action = 1, Strength = 13.039

Rule 51: Condition = ##0010, Action = 0, Strength = 12.3951

Rule 52: Condition = ##0#10, Action = 0, Strength = 12.3951

Rule 53: Condition = 001#0#, Action = 0, Strength = 11.1527

Rule 54: Condition = #111#0, Action = 1, Strength = 11.1527

Rule 55: Condition = ###110, Action = 0, Strength = 11.0768

Rule 56: Condition = #11###, Action = 0, Strength = 11.0768

Rule 57: Condition = #1#1#0, Action = 1, Strength = 19.6811

Rule 58: Condition = 001#0#, Action = 0, Strength = 19.6811

Rule 59: Condition = #10#1#, Action = 1, Strength = 3.66326

Rule 60: Condition = 110###, Action = 0, Strength = 3.66326


Final Accuracy: 71.875%

Run : 6

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = 01#0##, Action = 0, Strength = 19.6811

Rule 2: Condition = 11###0, Action = 0, Strength = 19.6811

Rule 3: Condition = 01#1##, Action = 1, Strength = 19.6811

Rule 4: Condition = #00#0#, Action = 0, Strength = 19.6811

Rule 5: Condition = 001###, Action = 1, Strength = 19.681

Rule 6: Condition = ##1#11, Action = 1, Strength = 15.3786

Rule 7: Condition = 001##0, Action = 0, Strength = 6.80481

Rule 8: Condition = 1011#0, Action = 0, Strength = 6.80481

Rule 9: Condition = #01###, Action = 0, Strength = 15.1519

Rule 10: Condition = 1#0#00, Action = 1, Strength = 15.1519

Rule 11: Condition = #101##, Action = 0, Strength = 13.3

Rule 12: Condition = 0000#0, Action = 0, Strength = 13.3

Rule 13: Condition = 01#0#1, Action = 0, Strength = 19.6811

Rule 14: Condition = 0###00, Action = 0, Strength = 19.6811

Rule 15: Condition = 0#1#0#, Action = 0, Strength = 13.243

Rule 16: Condition = #1#001, Action = 1, Strength = 13.243

Rule 17: Condition = #11000, Action = 0, Strength = 12.6612

Rule 18: Condition = 01#100, Action = 0, Strength = 12.6612

Rule 19: Condition = 0#001#, Action = 0, Strength = 19.6811

Rule 20: Condition = 011#10, Action = 1, Strength = 19.6811

Rule 21: Condition = 10##00, Action = 0, Strength = 19.6811

Rule 22: Condition = 1##010, Action = 0, Strength = 19.6811

Rule 23: Condition = 0011##, Action = 1, Strength = 19.6811

Rule 24: Condition = ####00, Action = 1, Strength = 19.6811

Rule 25: Condition = #0#10#, Action = 1, Strength = 13.2258

Rule 26: Condition = 1#0#10, Action = 0, Strength = 13.2258

Rule 27: Condition = 0#1#1#, Action = 0, Strength = 10.0369

Rule 28: Condition = 100#10, Action = 0, Strength = 10.0369

Rule 29: Condition = 11#000, Action = 0, Strength = 15.1661

Rule 30: Condition = 101010, Action = 0, Strength = 15.1661

Rule 31: Condition = 1#10##, Action = 0, Strength = 17.5298

Rule 32: Condition = 1#1#00, Action = 0, Strength = 17.5298

Rule 33: Condition = #111#1, Action = 1, Strength = 10.646

Rule 34: Condition = #10##1, Action = 0, Strength = 10.646

Rule 35: Condition = 0##1##, Action = 1, Strength = 19.6811

Rule 36: Condition = #0#1##, Action = 1, Strength = 19.6811

Rule 37: Condition = 0001#0, Action = 1, Strength = 5.48578

Rule 38: Condition = 1#0##1, Action = 1, Strength = 5.48578

Rule 39: Condition = #0#0#1, Action = 0, Strength = 19.6811

Rule 40: Condition = 1#010#, Action = 1, Strength = 19.6811

Rule 41: Condition = ###1#0, Action = 1, Strength = 15.1661

Rule 42: Condition = 0#1#01, Action = 0, Strength = 15.1661

Rule 43: Condition = 01#0#0, Action = 0, Strength = 8.72799

Rule 44: Condition = 101#11, Action = 0, Strength = 8.72799

Rule 45: Condition = ##1###, Action = 0, Strength = 13.2258

Rule 46: Condition = 01##01, Action = 1, Strength = 13.2258

Rule 47: Condition = 01101#, Action = 0, Strength = 15.1299

Rule 48: Condition = #111#0, Action = 1, Strength = 15.1299

Rule 49: Condition = 11##01, Action = 1, Strength = 19.6811

Rule 50: Condition = 1#0#00, Action = 0, Strength = 19.6811

Rule 51: Condition = 01#0##, Action = 0, Strength = 7.88571

Rule 52: Condition = 1111#0, Action = 0, Strength = 7.88571

Rule 53: Condition = #011#1, Action = 1, Strength = 19.6811

Rule 54: Condition = #1##10, Action = 1, Strength = 19.6811

